yr,r,gdpcat,si,n,units,value
2016,us,gdp,1,,billions of us dollars (USD),18707.189
2016,us,gdp,2,,billions of us dollars (USD),16319.3572
2016,us,gdp,3,11,billions of us dollars (USD),164.9132
2016,us,gdp,4,111-112,billions of us dollars (USD),129.458
2016,md,gdp,1,,billions of us dollars (USD),384.3768
2016,md,gdp,2,,billions of us dollars (USD),306.0282
2016,md,gdp,3,11,billions of us dollars (USD),0.8673
2016,md,gdp,4,111-112,billions of us dollars (USD),0.7308
2017,us,gdp,1,,billions of us dollars (USD),19485.394
2017,us,gdp,2,,billions of us dollars (USD),17031.6897
2017,us,gdp,3,11,billions of us dollars (USD),169.2252
2017,us,gdp,4,111-112,billions of us dollars (USD),0.0
2017,md,gdp,1,,billions of us dollars (USD),399.5379
2017,md,gdp,2,,billions of us dollars (USD),318.7036
2017,md,gdp,3,11,billions of us dollars (USD),0.9141
2017,md,gdp,4,111-112,billions of us dollars (USD),0.0
