industry_id,windc_code,windc_desc,industry_code
66,adm,Administrative and support services,561
4,agr,Farms,111-112
37,air,Air transportation,481
28,alt,Apparel and leather and allied products manufacturing,315-316
71,amb,Ambulatory health care services,621
79,amd,Accommodation,721
76,art,"Performing arts, spectator sports, museums, and related activities",711-712
52,bnk,"Federal Reserve banks, credit intermediation, and related services",521-522
48,brd,Broadcasting and telecommunications,"515, 517"
19,cep,Computer and electronic products manufacturing,334
32,che,Chemical products manufacturing,325
62,com,Computer systems design and related services,5415
11,con,Construction,23
49,dat,"Data processing, internet publishing, and other information services","518, 519"
69,edu,Educational services,61
20,eec,"Electrical equipment, appliance, and components manufacturing",335
26,fbp,Food and beverage and tobacco products manufacturing,311-312
35,fbt,Retail trade,44-45
84,fdd,Federal military,...
83,fen,Federal civilian,...
55,fin,"Funds, trusts, and other financial vehicles",525
17,fmt,Fabricated metal products,332
83,fnd,Federal civilian,...
5,fof,"Forestry, fishing, and related activities",113-115
23,fpd,Furniture and related products manufacturing,337
35,gmt,Retail trade,44-45
41,grd,Transit and ground passenger transportation,485
72,hos,Hospitals and nursing and residential care facilities,622-623
57,hou,Real estate,531
54,ins,Insurance carriers and related activities,524
61,leg,Legal services,5411
64,man,Management of companies and enterprises,55
18,mch,Machinery manufacturing,333
8,min,"Mining, except oil and gas",212
24,mmf,Miscellaneous manufacturing,339
21,mot,"Motor vehicles, bodies and trailers, and parts manufacturing",3361-3363
47,mov,Motion picture and sound recording industries,512
35,mvt,Retail trade,44-45
15,nmp,Nonmetallic mineral products manufacturing,327
72,nrs,Hospitals and nursing and residential care facilities,622-623
7,oil,Oil and gas extraction,211
57,ore,Real estate,531
81,osv,"Other services, except government",81
22,ote,Other transportation equipment manufacturing,"3364-3366, 3369"
43,otr,Other transportation and support activities,"487-488, 492"
35,ott,Retail trade,44-45
31,pet,Petroleum and coal products manufacturing,324
42,pip,Pipeline transportation,486
33,pla,Plastics and rubber products manufacturing,326
16,pmt,Primary metals manufacturing,331
29,ppd,Paper products manufacturing,322
30,pri,Printing and related support activities,323
46,pub,"Publishing industries, except Internet (includes software)",511
77,rec,"Amusements, gambling, and recreation industries",713
80,res,Food services and drinking places,722
58,rnt,Rental and leasing services and lessors of intangible assets,532-533
53,sec,"Securities, commodity contracts, and investments",523
85,sle,State and local,...
85,slg,State and local,...
9,smn,Support activities for mining,213
73,soc,Social assistance,624
27,tex,Textile mills and textile product mills,313-314
40,trk,Truck transportation,484
38,trn,Rail transportation,482
63,tsv,"Miscellaneous professional, scientific, and technical services","5412-5414, 5416-5419"
10,uti,Utilities,22
34,wht,Wholesale trade,42
14,wpd,Wood products manufacturing,321
44,wrh,Warehousing and storage,493
67,wst,Waste management and remediation services,562
39,wtt,Water transportation,483
