a,b,a_desc
alt,clo,Apparel and leather and allied products
tex,clo,Textile mills and textile product mills
min,enr,Coal mining
oil,enr,Oil and gas extraction
agr,foo,Farms
fbp,foo,Food and beverage and tobacco products
fbt,foo,Food and beverage stores
bnk,fsr,"Federal Reserve banks, credit intermediation, and related activ"
fin,fsr,"Funds, trusts, and other financial vehicles"
ins,fsr,Insurance carriers and related activities
sec,fsr,"Securities, commodity contracts, and investments"
edu,hce,Educational services
fpd,hdr,Furniture and related products
wpd,hdr,Wood products
amb,hea,Ambulatory health care services
hos,hea,Hospitals
nrs,hea,Nursing and residential care facilities
soc,hea,Social assistance
res,htl,Food services and drinking places
mot,mvp,"Motor vehicles, bodies and trailers, and parts manufacturing"
mvt,mvp,Motor vehicle and parts dealers
ote,mvp,Other transportation equipment
fdd,npi,Federal general government (defense)
fen,npi,Federal government enterprises
fnd,npi,Federal general government (nondefense)
oth,npi,Noncomparable imports and rest-of-the-world adjustment
sle,npi,State and local government enterprises
slg,npi,State and local general government
use,npi,"Scrap, used and secondhand goods"
che,odg,Chemical products
con,odg,Construction
fmt,odg,Fabricated metal products
mch,odg,Machinery
mmf,odg,Miscellaneous manufacturing
nmp,odg,Nonmetallic mineral products
pet,odg,Petroleum refineries
pla,odg,Plastics and rubber products
pmt,odg,Primary metals
ppd,odg,Paper products
pri,odg,Printing and related support activities
wht,odg,Wholesale trade
gmt,ong,General merchandise stores
ott,ong,Other retail
smn,ong,Support activities for mining
adm,osr,Administrative and support services
brd,osr,Broadcasting and telecommunications
com,osr,Computer systems design and related services
dat,osr,"Data processing, internet publishing, and other information"
leg,osr,Legal services
man,osr,Management of companies and enterprises
mov,osr,Motion picture and sound recording industries
osv,osr,"Other services, except government"
pub,osr,"Publishing industries, except internet (includes software)"
tsv,osr,"Miscellaneous professional, scientific, and technical services"
wrh,osr,Warehousing and storage
cep,rec,Computer and electronic products
eec,rec,"Electrical equipment, appliances, and components"
fof,rec,"Forestry, fishing, and related activities"
amd,rsr,Accommodation
art,rsr,"Performing arts, spectator sports, museums, and related activit"
rec,rsr,"Amusements, gambling, and recreation industries"
rnt,rsr,Rental and leasing services and lessors of intangible assets
air,trn,Air transportation
grd,trn,Transit and ground passenger transportation
otr,trn,Other transportation and support activities
pip,trn,Pipeline transportation
trk,trn,Truck transportation
trn,trn,Rail transportation
wtt,trn,Water transportation
hou,utl,Housing
ore,utl,Other real estate
uti,utl,"Electric power generation, transmission, and distribution"
wst,utl,Waste management and remediation services
